"lemma"	"semantic_domain_Biber"	"semantic_domain_Edwards"	"Edwards"	"agreement"
"309"	"shine"	"occurrence"	"existence_relationship"	"Edwards"	FALSE
"310"	"shout"	"communication"	"communication"	"Edwards"	TRUE
"311"	"show"	"activity"	"activity"	"Edwards"	TRUE
"312"	"show"	"activity"	"existence_relationship"	"Edwards"	FALSE
"313"	"show"	"activity"	"activity"	"Edwards"	TRUE
"314"	"shut up"	"activity"	NA	NA	NA
"315"	"sign"	"communication"	"communication"	"Edwards"	TRUE
"316"	"sing"	"communication"	"communication"	"Edwards"	TRUE
"317"	"sink"	"occurrence"	"occurrence"	"Edwards"	TRUE
"318"	"sit"	"activity"	NA	NA	NA
"319"	"sit down"	"activity"	NA	NA	NA
"320"	"sit up"	"activity"	NA	NA	NA
"321"	"slip"	"occurrence"	"occurrence"	"Edwards"	TRUE
"322"	"smile"	"activity"	"activity"	"Edwards"	TRUE
"323"	"smile"	"activity"	"activity"	"Edwards"	TRUE
"324"	"solve"	"mental"	"mental"	"Edwards"	TRUE
"325"	"sound"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"326"	"speak"	"communication"	"communication"	"Edwards"	TRUE
"327"	"specify"	"communication"	"communication"	"Edwards"	TRUE
"328"	"spend"	"activity"	"activity"	"Edwards"	TRUE
"329"	"stand"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"330"	"stand up"	"activity"	"activity"	"Edwards"	TRUE
"331"	"stare"	"activity"	"activity"	"Edwards"	TRUE
"332"	"stare"	"activity"	"mental"	"Edwards"	FALSE
"333"	"start"	"aspectual"	"aspectual"	"Edwards"	TRUE
"334"	"state"	"communication"	"communication"	"Edwards"	TRUE
"335"	"stay"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"336"	"stay"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"337"	"stop"	"aspectual"	"aspectual"	"Edwards"	TRUE
"338"	"study"	"mental"	"activity"	"Edwards"	FALSE
"339"	"study"	"mental"	"mental"	"Edwards"	TRUE
"340"	"suffer"	"mental"	"mental"	"Edwards"	TRUE
"341"	"suggest "	"communication"	NA	NA	NA
"342"	"suit"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"343"	"suppose"	"mental"	"mental"	"Edwards"	TRUE
"344"	"suspect"	"mental"	"mental"	"Edwards"	TRUE
"345"	"swear"	"communication"	"communication"	"Edwards"	TRUE
"346"	"take"	"activity"	"activity"	"Edwards"	TRUE
"347"	"take off"	"activity"	"activity"	"Edwards"	TRUE
"348"	"take on"	"activity"	"activity"	"Edwards"	TRUE
"349"	"take over"	"activity"	"activity"	"Edwards"	TRUE
"350"	"take up"	"activity"	"occurrence"	"Edwards"	FALSE
"351"	"talk"	"communication"	"communication"	"Edwards"	TRUE
"352"	"teach"	"communication"	"communication"	"Edwards"	TRUE
"353"	"tell"	"communication"	"communication"	"Edwards"	TRUE
"354"	"tend"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"355"	"thank"	"communication"	"communication"	"Edwards"	TRUE
"356"	"think"	"mental"	"mental"	"Edwards"	TRUE
"357"	"threaten"	"communication"	"communication"	"Edwards"	TRUE
"358"	"throw"	"activity"	"activity"	"Edwards"	TRUE
"359"	"trust"	"mental"	"mental"	"Edwards"	TRUE
"360"	"try"	"activity"	NA	NA	NA
"361"	"turn"	"activity"	"activity"	"Edwards"	TRUE
"362"	"turn"	"activity"	"occurrence"	"Edwards"	FALSE
"363"	"turn"	"activity"	"facilitation_causation"	"Edwards"	FALSE
"364"	"understand"	"mental"	"mental"	"Edwards"	TRUE
"365"	"urge"	"communication"	"communication"	"Edwards"	TRUE
"366"	"use"	"activity"	"activity"	"Edwards"	TRUE
"367"	"vary"	"existence_relationship"	"existence_relationship"	"Edwards"	TRUE
"368"	"visit"	"activity"	"activity"	"Edwards"	TRUE
"369"	"wait"	"activity"	"activity"	"Edwards"	TRUE
"370"	"walk"	"activity"	"activity"	"Edwards"	TRUE
"371"	"want"	"mental"	"mental"	"Edwards"	TRUE
"372"	"warn"	"communication"	"communication"	"Edwards"	TRUE
"373"	"watch"	"activity"	"mental"	"Edwards"	FALSE
"374"	"wear"	"activity"	"activity"	"Edwards"	TRUE
"375"	"welcome"	"communication"	"communication"	"Edwards"	TRUE
"376"	"whisper"	"communication"	"communication"	"Edwards"	TRUE
"377"	"win"	"activity"	"activity"	"Edwards"	TRUE
"378"	"wish"	"mental"	"mental"	"Edwards"	TRUE
"379"	"wonder"	"mental"	"mental"	"Edwards"	TRUE
"380"	"work"	"activity"	"existence_relationship"	"Edwards"	FALSE
"381"	"work"	"activity"	"activity"	"Edwards"	TRUE
"382"	"worry"	"mental"	"mental"	"Edwards"	TRUE
"383"	"write"	"communication"	"communication"	"Edwards"	TRUE
"384"	"accept"	NA	"activity"	"Edwards"	NA
"385"	"accept"	NA	"mental"	"Edwards"	NA
"386"	"adjust"	NA	"mental"	"Edwards"	NA
"387"	"advocate"	NA	"communication"	"Edwards"	NA
"388"	"aim"	NA	"mental"	"Edwards"	NA
"389"	"arrest"	NA	"activity"	"Edwards"	NA
"390"	"arrest"	NA	"activity"	"Edwards"	NA
"391"	"arrive"	NA	"activity"	"Edwards"	NA
"392"	"attain"	NA	"activity"	"Edwards"	NA
"393"	"attend"	NA	"activity"	"Edwards"	NA
"394"	"average"	NA	"existence_relationship"	"Edwards"	NA
"395"	"be derived"	NA	"existence_relationship"	"Edwards"	NA
"396"	"be located"	NA	"existence_relationship"	"Edwards"	NA
"397"	"bluff"	NA	"mental"	"Edwards"	NA
"398"	"blush"	NA	"occurrence"	"Edwards"	NA
"399"	"boom"	NA	"occurrence"	"Edwards"	NA
"400"	"born"	NA	"occurrence"	"Edwards"	NA
