"Lemma"	"Corpus"
"564"	"go"	"Youth Fiction Sampled"
"565"	"live"	"Youth Fiction Sampled"
"566"	"get on"	"Youth Fiction Sampled"
"567"	"stand"	"Youth Fiction Sampled"
"568"	"imagine"	"Youth Fiction Sampled"
"569"	"hear"	"Youth Fiction Sampled"
"570"	"try"	"Youth Fiction Sampled"
"571"	"dance"	"Youth Fiction Sampled"
"572"	"stand"	"Youth Fiction Sampled"
"573"	"ring"	"Youth Fiction Sampled"
"574"	"get underway"	"Youth Fiction Sampled"
"575"	"think"	"Youth Fiction Sampled"
"576"	"stand"	"Youth Fiction Sampled"
"577"	"nod off"	"Youth Fiction Sampled"
"578"	"hover"	"Youth Fiction Sampled"
"579"	"run"	"Youth Fiction Sampled"
"580"	"run away"	"Youth Fiction Sampled"
"581"	"wait"	"Youth Fiction Sampled"
"582"	"think"	"Youth Fiction Sampled"
"583"	"feel"	"Youth Fiction Sampled"
"584"	"go through"	"Youth Fiction Sampled"
"585"	"jangle"	"Youth Fiction Sampled"
"586"	"get"	"Youth Fiction Sampled"
"587"	"have"	"Youth Fiction Sampled"
"588"	"laugh"	"Youth Fiction Sampled"
"589"	"wade"	"Youth Fiction Sampled"
"590"	"talk about"	"Youth Fiction Sampled"
"591"	"playact"	"Youth Fiction Sampled"
"592"	"queue up"	"Youth Fiction Sampled"
"593"	"sweep up"	"Youth Fiction Sampled"
"594"	"run"	"Youth Fiction Sampled"
"595"	"expect"	"Youth Fiction Sampled"
"596"	"go"	"Youth Fiction Sampled"
"597"	"think"	"Youth Fiction Sampled"
"598"	"pitch"	"Youth Fiction Sampled"
"599"	"watch"	"Youth Fiction Sampled"
"600"	"do"	"Youth Fiction Sampled"
"601"	"talk about"	"Youth Fiction Sampled"
"602"	"do"	"Youth Fiction Sampled"
"603"	"push through"	"Youth Fiction Sampled"
"604"	"stand"	"Youth Fiction Sampled"
"605"	"whine"	"Youth Fiction Sampled"
"606"	"do"	"Youth Fiction Sampled"
