words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
hide,3,8.353305307,0.67,10.69,X.BNC_prog_count.,0,0.21,4.91
hike,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
hit,2,32.13460872,2,32.13,X.BNC_non_prog.,0,0,0
hold,13,27.52084296,2.38,38.14,X.BNC_prog_count.,0,0.26,26.23
hop,0,15.98425879,0.94,15.05,X.BNC_non_prog.,0,-0.06,1.93
hope,8,39.50461958,2.79,44.72,X.BNC_prog_count.,0,0.11,7.08
host,1,0.269777567,0.07,1.2,X.BNC_prog_count.,0,0.73,4.39
hunt,0,1.94201275,0.11,1.83,X.BNC_non_prog.,0,-0.06,0.24
hurt,1,23.68596976,1.45,23.24,X.BNC_non_prog.,0,-0.02,0.17
impoverish,0,0,0,0,no_preference,0,NA,0
include,1,7.813750173,0.52,8.3,X.BNC_prog_count.,0,0.05,0.38
