words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
move,13,134,7.07,139.93,X.TxB_Nar_prog_count.,0,0.04,4.26
blow,3,13,0.77,15.23,X.TxB_Nar_prog_count.,0,0.14,4.05
cook,3,13,0.77,15.23,X.TxB_Nar_prog_count.,0,0.14,4.05
ring,3,13,0.77,15.23,X.TxB_Nar_prog_count.,0,0.14,4.05
chat,2,6,0.38,7.62,X.TxB_Nar_prog_count.,0,0.2,3.74
concentrate,2,6,0.38,7.62,X.TxB_Nar_prog_count.,0,0.2,3.74
dream,2,6,0.38,7.62,X.TxB_Nar_prog_count.,0,0.2,3.74
write,9,85,4.52,89.48,X.TxB_Nar_prog_count.,0,0.05,3.68
boil,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
cheat,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
engulf,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
kid,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
operate,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
queue,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
scare,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
smoke,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
speed,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
spin,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
splash,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
split,1,1,0.1,1.9,X.TxB_Nar_prog_count.,0,0.45,3.4
